Mapserver Export Map 1,200,OK,bin,1519,18
Mapserver Export Map 1,200,OK,bin,1698,15
Mapserver Export Map 1,200,OK,bin,4183,17
Mapserver Export Map 1,200,OK,bin,3643,20
Featureserver Query 1,200,OK,text,48674,29
Featureserver Query 1,200,OK,text,106060,37
Featureserver Query 1,200,OK,text,55560,28
Featureserver Query 1,200,OK,text,52871,26
Get Map Service Info,200,OK,text,1794,2
Get Legend,200,OK,text,1687,2
Mapserver Export Map 1,200,OK,bin,1728,21
Mapserver Export Map 1,200,OK,bin,1546,20
Mapserver Export Map 1,200,OK,bin,1760,21
Mapserver Export Map 1,200,OK,bin,2557,19
Featureserver Query 1,200,OK,text,106354,61
Featureserver Query 1,200,OK,text,106936,56
Featureserver Query 1,200,OK,text,814,16
Featureserver Query 1,200,OK,text,3661,22
Get Map Service Info,200,OK,text,1794,2
